geneId	geneSymbol	geneName	diseaseId	diseaseName	score	NumberOfPubmeds	associationType	source
540	ATP7B	ATPase, Cu++ transporting, beta polypeptide	umls:C0019202	Hepatolenticular Degeneration	0.972606830040202	200	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, RGD, UNIPROT
4160	MC4R	melanocortin 4 receptor	umls:C0028754	Obesity	0.94	264	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, MGD, RGD, UNIPROT
3667	IRS1	insulin receptor substrate 1	umls:C0011860	Diabetes Mellitus, Type 2	0.907216438728992	112	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, MGD, RGD, UNIPROT
1080	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	umls:C0010674	Cystic Fibrosis	0.9	1074	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
4204	MECP2	methyl CpG binding protein 2	umls:C0035372	Rett Syndrome	0.9	498	AlteredExpression, Biomarker, GeneticVariation, PostTranslationalModification	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
5621	PRNP	prion protein	umls:C0022336	Creutzfeldt-Jakob Syndrome	0.884360622875725	272	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
2332	FMR1	fragile X mental retardation 1	umls:C0016667	Fragile X Syndrome	0.880361233035669	523	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
3815	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	umls:C0238198	Gastrointestinal Stromal Tumors	0.879390147828908	621	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
4210	MEFV	Mediterranean fever	umls:C0031069	Familial Mediterranean Fever	0.870270924776752	323	AlteredExpression, Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
6331	SCN5A	sodium channel, voltage gated, type V alpha subunit	umls:C1142166	Brugada Syndrome	0.869105313991926	183	Biomarker, GeneticVariation	BeFree, CLINVAR, CTD_human, GAD, LHGDN, MGD, UNIPROT
